Id_Key,Dept,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
1,BBA,1,1,27,0,0,3.38,5,0,4,5,Science,23100,0,3,0,2,3,1,1,1,1,1,1,1,1,1,0,Dropout
2,BBA,1,1,25,24,0,4.88,5,1.78,5,5,BUSINESS STUDIES,0,0,5,0,0,5,2,1,2.33,1,1,1,3.67,2.33,3,4.33,Dropout
3,BBA,1,1,26,123,0,5,5,2.93,5,5,BUSINESS STUDIES,0,1,14,0,3,15,3.33,4,3.33,4,2.33,2.33,3.33,3.33,3,4.33,Complete
4,BBA,1,1,27,123,0,4.5,5,3.18,4,4,Business Studies,0,1,12,0,0,13,4,4.67,4.67,4.33,4.33,4.33,4.33,5,3.33,3.67,Complete
5,BBA,1,2,25,123,0,5,5,2.99,5,5,Science,0,0,14,0,0,14,5,4.67,3.67,3.67,4,4.33,3.33,3.67,4,4.33,Complete
6,BBA,1,1,0,0,0,5,5,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
7,BBA,1,2,25,120,0,5,5,2.87,5,5,SCIENCE,0,0,17,0,0,17,1,4,4.67,3.67,4.67,4,4,2.67,4.33,4,Dropout
8,BBA,1,2,0,0,0,5,5,0,5,5,BUSINESS STUDIES,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
9,BBA,1,2,0,123,0,5,5,2.95,5,5,Buisness Studies,0,0,13,0,3,13,4.33,3.67,4.33,4.33,4.33,4.33,4.67,4.33,4.67,4,Complete
10,BBA,1,2,25,123,0,4.63,5,3.37,5,5,Business Studies,0,4,10,0,5,14,3.33,3.67,4.67,4,3.67,4.67,4.33,5,5,4.33,Complete
11,BBA,1,1,27,21,0,5,5,1.57,1,5,Huminities,0,0,4,0,0,4,2.33,3.33,1,2,2.67,1,2.33,3.33,2,1,Dropout
12,BBA,1,2,26,123,0,5,5,3.95,5,5,Science,-44,12,14,0,2,13,5,5,5,5,5,5,5,5,5,5,Complete
13,BBA,1,2,27,123,0,5,5,3.69,5,5,Business Studies,0,10,5,0,0,15,4,4,4.33,5,5,4.33,4.67,5,4.67,4.33,Complete
14,BBA,1,2,27,132,0,5,5,3.81,5,5,Businessman,-1,13,1,0,2,14,5,5,4.67,5,5,4.33,5,5,5,5,Complete
15,BBA,1,2,26,123,0,5,5,3.24,5,5,Business Studies,0,3,11,0,1,14,5,5,3.67,4,2.67,4.67,3,3.67,3.33,3.67,Complete
16,BBA,1,2,27,123,0,5,5,3.92,5,5,SCIENCE,0,10,3,0,1,13,5,5,5,4.67,5,5,5,5,5,5,Complete
17,BBA,1,2,26,123,0,4.88,5,3.66,8,5,Business Studies,0,8,20,0,0,14,4.33,4.33,4.33,4.67,4.67,3.67,5,4.67,5,5,Complete
18,BBA,1,2,25,0,0,5,5,0,5,0,Business Studies,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
19,BBA,1,1,26,39,0,3.5,5,1.67,4,0,Business Studies,0,0,7,0,1,7,2.67,1,3.67,2,2,1,1,1,2,2.67,Dropout
20,BBA,1,1,25,126,0,4.75,4.3,2.73,11,0,BUSINESS STUDIES,0,1,0,0,4,13,3.67,4.33,3.67,5,4.33,4.33,4.33,4.33,3.67,2.67,Complete
21,BBA,1,2,27,45,0,4.8,4,3.4,0,0,COMMERCE,0,3,0,0,0,5,4.33,4.67,5,4.67,4.67,4.33,3.67,3.67,3.67,4.67,Dropout
22,BBA,1,1,27,9,0,4.56,3.7,0.56,5,5,b.studies,37000,0,0,0,0,2,1,2,1,1,2.33,2,0,0,0,0,Dropout
23,BBA,1,2,0,24,0,4.94,3.8,1.44,6,6,COMMERCE,37000,0,0,0,1,6,1,1,1,3.33,1,2.33,3.67,4,3.33,3.33,Dropout
24,BBA,1,2,27,120,0,4.4,2,2.58,0,0,0,0,1,0,0,3,14,1,4.67,2,2.67,3.33,2.33,5,3,4.33,4.67,Dropout
25,BBA,1,2,25,9,0,4.38,4.5,1.4,5,5,Business Studies,1000,0,0,0,1,2,3.33,1,1,2.67,1,4,0,0,0,0,Dropout
26,BBA,1,1,26,27,0,4.75,4,1.8,5,5,business studies,0,0,0,0,0,6,1,1,3.33,2.33,1,3.67,3.33,3.33,1,3.67,Dropout
27,BBA,1,1,27,126,0,4.94,4.7,2.74,5,5,B.studies,0,0,0,0,0,15,5,4.33,4,3,3,3.67,4.33,3.67,5,3.33,Complete
28,BBA,1,1,25,126,0,3.94,4.1,2.8,9,1,Business Studies,0,0,0,0,9,17,4.33,4,1,4.33,2.67,1,3.33,4,3,4,Complete
29,BBA,1,1,26,21,0,4.13,4.8,1.43,5,5,Business stydy,0,0,0,0,0,4,1,1,1,1,1,3.33,2,4,3.67,3.67,Dropout
